id,service,feature,support_status,limitation_type,condition,details,environment,region,sku_tier,auth_mode,network_mode,source_type,source_url,source_title,quote,workaround,confidence,first_seen,last_seen
AZL-0001,Azure Management Groups,Management groups per Microsoft Entra tenant,supported,quota_limit,,"Max/limit value: 10,000. Adjustable: No.",,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints","Management groups per Microsoft Entra tenant: 10,000",Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0002,Azure Management Groups,Levels of management group hierarchy,supported,quota_limit,,Max/limit value: Root + 6 levels. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Levels of management group hierarchy: Root + 6 levels,Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0003,Azure Management Groups,Management group level deployments per location,supported,quota_limit,,Max/limit value: 800. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Management group level deployments per location: 800,Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0004,Azure Subscriptions,Resource groups per subscription,supported,quota_limit,,Max/limit value: 980. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Resource groups per subscription: 980,Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0005,Azure Subscriptions,Azure Resource Manager API request size,supported,quota_limit,,"Max/limit value: 4,194,304 bytes. Adjustable: No.",,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints","Azure Resource Manager API request size: 4,194,304 bytes",Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0006,Azure Subscriptions,Tags per subscription,supported,quota_limit,,Max/limit value: 50. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Tags per subscription: 50,Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0007,Azure Subscriptions,Unique tag calculations per subscription,supported,quota_limit,,"Max/limit value: 80,000. Adjustable: No.",,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints","Unique tag calculations per subscription: 80,000",Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0008,Azure Subscriptions,Subscription-level deployments per location,supported,quota_limit,,Max/limit value: 800. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Subscription-level deployments per location: 800,Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0009,Azure Resource Groups,"Resources per resource group, per resource type",supported,quota_limit,,Max/limit value: 800. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints","Resources per resource group, per resource type: 800",Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0010,Azure Resource Groups,Deployments per resource group in history,supported,quota_limit,,Max/limit value: 800. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Deployments per resource group in history: 800,Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0011,Azure Resource Groups,Resources per deployment,supported,quota_limit,,Max/limit value: 800. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Resources per deployment: 800,Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0012,Azure Resource Groups,Management locks per unique scope,supported,quota_limit,,Max/limit value: 20. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Management locks per unique scope: 20,Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0013,Azure Resource Groups,Tags per resource or resource group,supported,quota_limit,,Max/limit value: 50. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Tags per resource or resource group: 50,Hard limit - not adjustable,high,2026-06-05,2026-06-05
AZL-0014,Azure Resource Groups,Tag key length,supported,quota_limit,,Max/limit value: 512 chars. Adjustable: No.,,,,,,learn_docs,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,"Azure subscription and service limits, quotas, and constraints",Tag key length: 512 chars,Hard limit - not adjustable,high,2026-06-05,2026-06-05
